"","Nome","upp","Complexo","OBJECTID_1","OBJECTID","Codfavela","Cod_Comple","Flag_Ativa","Data_Cadas","Data_saida","Data_Alter","Pop_SABREN","Dom_SABREN","Fonte","Bairro_","RP","RA","AP","Porte","Shape_ST_1","Shape_ST_2","ShapeSTAre","ShapeSTLen","data_ocupacao","data_fim","Treatment","year.occupation","month.occupation","day.occupation","year.fim","month.fim","day.fim"
"900","Vila Brasil","N","Vila Brasil","204","204","277","2112","1","1981-08-21T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","1631","520","IBGE - Censo Demográfico 2010","0","5.1","33","5","> 500 domicílios",926.80653972,40463.4768839,40463.4780273438,926.80653972085,NA,NA,0,NA,NA,NA,NA,NA,NA
"901","Vila Cabuçu","Lins","Lins","893","894","189","2044","1","1981-08-12T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","503","131","IBGE - Censo Demográfico 2010","0","3.2","13","3","entre 101 e 500 domicílios",722.95175584,19684.9957369,19684.9946289062,722.951755842696,"2013-10-06",NA,1,2013,10,6,NA,NA,NA
"902","Vila Calmete","N","Vila União da Curicica","38","38","468","2103","1","1991-08-08T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","445","151","IBGE - Censo Demográfico 2010","0","4.1","16","4","entre 101 e 500 domicílios",1016.55556973,19535.2952161,19535.294921875,1016.55556973589,NA,NA,0,NA,NA,NA,NA,NA,NA
"903","Vila Cambucí","N","Vila Cambucí","641","641","131","2035","1","1981-07-24T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","1102","311","IBGE - Censo Demográfico 2010","0","3.5","31","3","entre 101 e 500 domicílios",1087.17905277,21669.0832407,21669.0810546875,1087.17905277578,NA,NA,0,NA,NA,NA,NA,NA,NA
"904","Vila Campinho","N","Vila Campinho","178","178","231","2058","1","1981-08-20T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","2761","775","IBGE - Censo Demográfico 2010","0","3.3","15","3","> 500 domicílios",2644.9815366,104352.753161,104352.748535156,2644.98153660533,NA,NA,0,NA,NA,NA,NA,NA,NA
"905","Vila Cândido","Cerro-Corá","Guararapes","859","860","31","2015","1","1981-06-26T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","1422","418","IBGE - Censo Demográfico 2010","0","2.1","4","2","entre 101 e 500 domicílios",859.81058049,27503.8286518,27503.8286132812,859.81058048541,"2013-04-29",2018-12-21,1,2013,4,29,2018,12,21
"906","Vila Canoas","N","Vila Canoas","833","834","375","2020","1","1981-09-22T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","758","254","IBGE - Censo Demográfico 2010","0","2.1","6","2","entre 101 e 500 domicílios",651.9254539,10561.8007517,10561.8002929688,651.925453905927,NA,NA,0,NA,NA,NA,NA,NA,NA
"907","Vila Capelinha","N","Isolada","202","202","502","0","1","1991-11-25T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","500","147","IBGE - Censo Demográfico 2010","0","5.1","33","5","entre 101 e 500 domicílios",380.92545339,7430.89693494,7430.89697265625,380.925453385648,NA,NA,0,NA,NA,NA,NA,NA,NA
"908","Vila Caramuru","N","Morro do Urubu","710","711","161","2046","1","1981-08-11T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","718","233","IBGE - Censo Demográfico 2010","0","3.4","12","3","entre 101 e 500 domicílios",1026.33802107,24997.1244199,24997.1245117188,1026.33802108152,NA,NA,0,NA,NA,NA,NA,NA,NA
"909","Vila Casarão","N","Isolada","938","939","1072","0","1","2009-05-14T00:00:00.000Z",NA,"2016-11-07T00:00:00.000Z","263","93","IPP com base em IBGE - Censo Demográfico 2010","0","3.2","13","3","< 100 domicílios",229.07035991,2446.96450579,2446.9638671875,229.070359913255,NA,NA,0,NA,NA,NA,NA,NA,NA
